chr20	49573088	49577087
chr1	169861077	169865076
chr1	169762550	169766549
chr6	143830828	143834827
chr6	53407928	53411927
chr6	41038684	41042683
chr1	24740284	24744283
chr7	117118017	117122016
chr7	91873548	91877547
chr7	91761845	91765844
chr7	91873415	91877414
chr4	17576815	17580814
chr4	11429390	11433389
chr7	120967057	120971056
chr7	43150198	43154197
chr17	37024112	37028111
chr17	46182920	46186919
chr12	9100552	9104551
chr2	202643913	202647912
chr2	201978827	201982826
chr2	37456809	37460808
chr3	50124341	50128340
chr8	17268837	17272836
chr7	127226399	127230398
chr17	26682474	26686473
chr1	33500594	33504593
chr12	2902119	2906118
chr1	23343986	23347985
chr3	49975466	49979465
chr12	21652528	21656527
chr7	92859653	92863652
chr19	36246981	36250980
chr16	23605613	23609612
chr6	110795845	110799844
chr3	50382284	50386283
chr7	95949460	95953459
chr7	116591381	116595380
chr17	45264543	45268542
chr17	42343510	42347509
chr7	93202043	93206042
chr17	7135865	7139864
chr16	2906172	2910171
chr19	18940747	18944746
chr7	26902363	26906362
chr4	110479361	110483360
chr17	5370381	5374380
chr17	41737323	41741322
chr7	11869825	11873824
chr17	33305513	33309512
chr12	48097845	48101844
chr16	57479441	57483440
chr16	3928728	3932727
chr17	56403446	56407445
chr17	56356297	56360296
chr7	94952020	94956019
chr2	75936116	75940115
chr2	74646857	74650856
chr7	86972997	86976996
chr7	104652626	104656625
chr7	75506266	75510265
chr6	82955472	82959471
chr11	3398398	3402397
chr13	77898815	77902814
chr13	77599286	77603285
chr17	34898737	34902736
chr7	95113213	95117212
chr16	19531468	19535467
chr19	18697535	18701534
chr19	18715661	18719660
chr17	45897137	45901136
chr17	7195884	7199883
chr11	17496393	17500392
chr17	34389640	34393639
chr17	35967545	35971544
chr16	24264874	24268873
chr7	97359220	97363219
chr16	3330943	3334942
chr17	48622450	48626449
chr16	3068313	3072312
chr7	96632860	96636859
chr7	39661082	39665081
chr7	139874836	139878835
chr7	141248989	141252988
chr7	77426122	77430121
chr11	17563855	17567854
chr7	30542461	30546460
chr7	112088483	112092482
chr17	13970846	13974845
chr19	39879836	39883835
chr7	38946830	38950829
chr17	12919505	12923504
chr7	12608312	12612311
chr4	16083325	16087324
chr19	18043905	18047904
chr17	2495040	2499039
chr17	11499748	11503747
chr17	26970150	26974149
chr17	26798311	26802310
chr19	45679496	45683495
chr19	3799811	3803810
chr17	62048279	62052278
chr1	113160041	113164040
chr11	31837510	31841509
chr1	6759985	6763984
chr1	171058018	171062017
chr6	16127356	16131355
chr6	15244527	15248526
chr1	209755062	209759061
chr6	50784436	50788435
chr6	50679541	50683540
chr3	38078696	38082695
chr7	6310276	6314275
chr7	105751023	105755022
chr17	49196227	49200226
chr19	4341524	4345523
chr12	16498712	16502711
chr12	107485608	107489607
chr19	46524324	46528323
chr8	134582184	134586183
chr16	3094682	3098681
chr17	38208659	38212658
chr2	37309486	37313485
chr3	169682553	169686552
chr8	56985069	56989068
chr7	156929607	156933606
chr6	111802916	111806915
chr1	18955500	18959499
chr1	11105281	11109280
chr6	150688028	150692027
chr1	28050568	28054567
chr14	77785228	77789227
chr6	142466367	142470366
chr7	72934603	72938602
chr6	13709797	13713796
chr6	36353561	36357560
chr1	231471794	231475793
chr1	171748842	171752841
chr12	4712151	4716150
chr17	30675136	30679135
chr3	48645471	48649470
chr7	38215824	38219823
chr3	42742320	42746319
chr12	6600545	6604544
chr3	52487524	52491523
chr9	33748515	33752514
chr16	3283168	3287167
chr1	41705783	41709782
chr6	112192656	112196655
chr6	143264339	143268338
chr1	171225096	171229095
chr1	24067645	24071644
chr1	24115460	24119459
chr1	11864268	11868267
chr5	149567520	149571519
chr14	93797368	93801367
chr19	3759698	3763697
chr17	56294667	56298666
chr3	43730362	43734361
chr19	15527866	15531865
chr17	49335428	49339427
chr17	49335889	49339888
chr7	5819371	5823370
chr17	15900694	15904693
chr11	61346299	61350298
chr3	45428053	45432052
chr11	17227531	17231530
chr19	44172503	44176502
chr9	125701288	125705287
chr19	46193741	46197740
chr19	46848251	46852250
chr2	65281506	65285505
chr2	39662454	39666453
chr16	21167698	21171697
chr19	45924825	45928824
chr3	46504654	46508653
chr8	28556844	28560843
chr12	100895138	100899137
chr6	53211749	53215748
chr12	54119225	54123224
chr14	93671401	93675400
chr14	50997328	51001327
chr19	40474912	40478911
chr4	6574902	6578901
chr3	170301864	170305863
chr3	170134653	170138652
chr17	42400184	42404183
chr16	29829729	29833728
chr7	151036797	151040796
chr6	83901634	83905633
chr6	83901098	83905097
chr2	201727285	201731284
chr12	106749436	106753435
chr14	77277284	77281283
chr5	141346604	141350603
chr12	31224779	31228778
chr12	13151208	13155207
chr6	96967684	96971683
chr11	65027233	65031232
chr3	132034251	132038250
chr2	63814367	63818366
chr4	41990489	41994488
chr10	101489858	101493857
chr14	91882122	91886121
chr12	42630039	42634038
chr22	18254783	18258782
chr5	138627337	138631336
chr7	44578915	44582914
chr17	48421453	48425452
chr8	27113904	27117903
chr7	44528480	44532479
chr6	137364102	137368101
chr3	52738049	52742048
chr18	9473007	9477006
chr4	71568518	71572517
chr12	41084354	41088353
chr3	149373889	149377888
chr2	178255372	178259371
chr2	32851129	32855128
chr19	56902890	56906889
chr20	52788513	52792512
chr11	45166894	45170893
chr11	45305871	45309870
chr1	36021409	36025408
chr20	50806526	50810525
chr14	61199480	61203479
chr14	55032635	55036634
chr11	94225075	94229074
chr6	2840241	2844240
